school_urn,school_laestab,school_name,la_code,la_name,disadvantaged_pupils,disadvantaged_good_pass_pct,non_disadvantaged_good_pass_pct,all_pupils_good_pass_pct,gap_pp
146374,8304011,Kirk Hallam Community Academy,E10000007,Derbyshire,50,12,36.4,28.4,24.4
136671,9435400,Kirkbie Kendal School,E06000064,Westmorland and Furness,27,29.6,62.4,58.7,32.8
140001,3404000,Kirkby High School,E08000011,Knowsley,117,10.3,36.8,19.7,26.5
137107,9435406,Kirkby Stephen Grammar School,E06000064,Westmorland and Furness,11,27.3,43.6,41.5,16.3
119835,8886013,Kirkham Grammar School,E10000017,Lancashire,z,,,,
119887,8887076,Kirkham Pear Tree School,E10000017,Lancashire,6,,,,
111777,8077008,Kirkleatham Hall School,E06000003,Redcar and Cleveland,17,,,,
120729,9256017,Kirkstone House School,E10000019,Lincolnshire,z,,,,
150867,8134004,Kirton Academy,E06000013,North Lincolnshire,25,8,25.6,21.1,17.6
144752,3026085,Kisharon School,E09000003,Barnet,1,,,,
120740,9256034,Kisimul School,E10000019,Lincolnshire,z,,,,
100533,2076316,Knightsbridge School,E09000020,Kensington and Chelsea,z,,,,
138485,9197007,Knightsfield School,E10000015,Hertfordshire,6,,,12.5,
136128,8866905,Knole Academy,E10000016,Kent,37,21.6,48.7,44.7,27.1
125436,9366554,Knowl Hill School,E10000030,Surrey,z,,,,
144655,8017012,Knowle DGE Academy,E06000023,"Bristol, City of",15,0,0,0,0.0
138002,8954163,Knutsford Academy,E06000049,Cheshire East,21,57.1,68.6,68.8,11.5
146973,3116004,Koru Independent AP Academy,E09000016,Havering,z,,,,
120325,8556002,LGS Stoneygate,E10000018,Leicestershire,z,,,,
141103,3412020,LIPA School,E08000012,Liverpool,0,,,,
137583,8016029,LPW Independent School,E06000023,"Bristol, City of",z,,,,
148255,3836014,LS-TEN,E08000035,Leeds,z,,,,
146553,2026005,LSI Independent College,E09000007,Camden,z,,,,
110159,8676005,LVS Ascot,E06000036,Bracknell Forest,z,,,,
135930,9386267,LVS Hassocks,E10000032,West Sussex,z,,,,
141208,9316015,LVS Oxford,E10000025,Oxfordshire,z,,,,
100637,2085400,La Retraite Roman Catholic Girls' School,E09000022,Lambeth,70,40,49,,9.0
100059,2025401,La Sainte Union Catholic Secondary School,E09000007,Camden,38,21.1,57.4,,36.3
102932,3186002,Lady Eleanor Holles School,E09000027,Richmond upon Thames,z,,,,
137608,8844022,Lady Hawkins' School,E06000019,"Herefordshire, County of",10,10,58.5,49,48.5
148602,8154010,Lady Lumley's School,E06000065,North Yorkshire,24,50,73.9,69.6,23.9
112996,8305411,Lady Manners School,E10000007,Derbyshire,36,19.4,61.9,57,42.5
138607,2054632,Lady Margaret School,E09000013,Hammersmith and Fulham,21,76.2,82.7,,6.5
136046,3126082,Lady Nafisa School,E09000017,Hillingdon,z,,,,
134646,3504805,Ladybridge High School,E08000001,Bolton,83,26.5,37.5,33.3,11.0
142681,3804027,Laisterdyke Leadership Academy,E08000032,Bradford,85,18.8,47.4,34.9,28.6
139102,8934387,Lakelands Academy,E06000051,Shropshire,20,30,34.9,35.6,4.9
133262,3416082,Lakeside School,E08000012,Liverpool,z,,,,
116603,8507014,Lakeside School,E10000014,Hampshire,15,,,,
117680,9197023,Lakeside School,E10000015,Hertfordshire,4,,,,
134971,8867073,Laleham Gap School,E10000016,Kent,13,7.7,0,,-7.7
133478,8936025,Lamledge School,E06000051,Shropshire,z,,,,
145708,3204076,Lammas School,E09000031,Waltham Forest,57,17.5,36.8,30.3,19.3
136341,3134027,Lampton Academy,E09000018,Hounslow,66,37.9,61.3,54.5,23.4
149017,8906129,Lancashire Alternative Provision,E06000009,Blackpool,z,,,,
143857,8564002,Lancaster Academy,E06000016,Leicester,86,15.1,33.3,26.4,18.2
136381,8885402,Lancaster Girls' Grammar School,E10000017,Lancashire,7,71.4,93.3,,21.9
